Upper Midwest Climate Region, Minimum Temperature, May-July
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,Anomaly
189507,50.1,-1.3
189607,53.1,1.7
189707,50.4,-1
189807,51.1,-0.3
189907,51.4,0
190007,50.8,-0.6
190107,53.2,1.8
190207,51.2,-0.2
190307,50,-1.4
190407,49.6,-1.8
190507,49.8,-1.6
190607,50,-1.4
190707,47.7,-3.7
190807,51.1,-0.3
190907,50.2,-1.2
191007,49.1,-2.3
191107,53.3,1.9
191207,50.3,-1.1
191307,50.8,-0.6
191407,52.5,1.1
191507,47.5,-3.9
191607,51.5,0.1
191707,48.1,-3.3
191807,50.9,-0.5
191907,53.2,1.8
192007,50.1,-1.3
192107,55.3,3.9
192207,52.6,1.2
192307,52,0.6
192407,46.7,-4.7
192507,49.1,-2.3
192607,49.5,-1.9
192707,48.9,-2.5
192807,49.9,-1.5
192907,48.9,-2.5
193007,51.8,0.4
193107,52.5,1.1
193207,52.4,1
193307,54.1,2.7
193407,53.9,2.5
193507,50.9,-0.5
193607,52.8,1.4
193707,52,0.6
193807,51.8,0.4
193907,53.2,1.8
194007,50.8,-0.6
194107,53.8,2.4
194207,51.1,-0.3
194307,52.3,0.9
194407,53.1,1.7
194507,47.6,-3.8
194607,50.1,-1.3
194707,48.8,-2.6
194807,50.6,-0.8
194907,53.7,2.3
195007,49.4,-2
195107,51,-0.4
195207,52.3,0.9
195307,52,0.6
195407,51,-0.4
195507,53.8,2.4
195607,51.3,-0.1
195707,51.9,0.5
195807,48.5,-2.9
195907,52.8,1.4
196007,50.1,-1.3
196107,49.7,-1.7
196207,52.4,1
196307,51.9,0.5
196407,53.3,1.9
196507,51.3,-0.1
196607,50.7,-0.7
196707,49.1,-2.3
196807,50.4,-1
196907,50,-1.4
197007,52.8,1.4
197107,50.3,-1.1
197207,51,-0.4
197307,51.7,0.3
197407,50.8,-0.6
197507,53.6,2.2
197607,50.8,-0.6
197707,54.4,3
197807,51.8,0.4
197907,50.2,-1.2
198007,51.9,0.5
198107,51.3,-0.1
198207,51.9,0.5
198307,51.8,0.4
198407,51.1,-0.3
198507,50.8,-0.6
198607,53.3,1.9
198707,54.9,3.5
198807,53.6,2.2
198907,51.5,0.1
199007,51.2,-0.2
199107,55.5,4.1
199207,49.3,-2.1
199307,51.7,0.3
199407,51.9,0.5
199507,52.8,1.4
199607,51,-0.4
199707,50.6,-0.8
199807,53.7,2.3
199907,54.6,3.2
200007,52.3,0.9
200107,53.5,2.1
200207,52.7,1.3
200307,51,-0.4
200407,50.4,-1
200507,53.6,2.2
200607,53.9,2.5
200707,53.9,2.5
200807,51,-0.4
200907,49.9,-1.5
201007,54.4,3
201107,54,2.6
201207,55.5,4.1
201307,52.5,1.1
201407,52.1,0.7
201507,52.5,1.1
201607,53.3,1.9
201707,52.3,0.9
201807,55.3,3.9
201907,52.1,0.7
202007,53.8,2.4
202107,53.6,2.2
